Build Num,slow_ratio,repository_id
8553,0.991,23
2234,0.026,24
3625,0.897,26
7126,0.704,29
12116,0.886,44
2950,0.045,49
397,0.048,60
4556,0.922,63
451,0.734,68
1347,0.000,74
901,0.665,81
663,0.747,83
2315,0.473,85
350,0.000,86
451,0.013,91
1534,0.008,107
1620,0.051,117
345,0.986,118
310,0.035,120
796,0.122,123
307,0.114,136
8842,0.213,162
1798,0.014,164
2973,0.805,166
8895,0.932,175
1622,0.100,177
485,0.948,194
1355,0.415,206
312,0.942,207
707,0.027,209
653,0.002,214
1642,0.549,219
561,0.007,224
380,0.824,228
344,0.012,238
526,0.010,247
9500,0.887,280
2668,0.039,288
382,0.047,304
1093,0.087,324
3504,0.103,329
1577,0.703,340
783,0.549,349
2052,0.010,369
6305,0.442,377
692,0.003,382
400,0.777,388
856,0.283,395
1158,0.339,397
3549,0.768,402
373,0.051,405
1151,0.044,460
1714,0.344,462
550,0.631,464
1501,0.005,467
1826,0.550,468
4078,0.470,471
878,0.580,480
557,0.074,488
471,0.042,499
472,0.968,509
499,0.022,513
356,0.169,516
614,0.148,541
654,0.347,566
653,0.025,568
7517,0.923,596
1458,0.071,604
385,0.335,625
473,0.032,633
1710,0.753,663
447,0.322,666
5836,0.964,669
586,0.009,695
3460,0.008,696
465,0.935,709
549,0.823,756
546,0.392,771
368,0.152,783
767,0.335,787
6046,0.656,811
1552,0.864,816
1849,0.042,841
447,0.888,852
498,0.398,873
1472,0.008,891
604,0.937,939
2523,0.952,1008
316,0.016,1025
516,0.033,1032
389,0.887,1047
1250,0.880,1055
665,0.009,1096
4785,0.591,1102
317,0.041,1111
824,0.023,1132
7243,0.517,1178
741,0.742,1181
1312,0.017,1188
967,0.174,1194
629,0.901,1215
352,0.000,1228
706,0.207,1249
960,0.978,1264
345,0.284,1266
362,0.884,1297
4292,0.630,1301
5496,0.488,1335
923,0.003,1372
2823,0.012,1382
915,0.878,1394
3019,0.358,1423
459,0.017,1517
420,0.243,1534
473,0.338,1537
818,0.840,1541
1105,0.273,1573
426,0.148,1576
393,0.008,1577
549,0.719,1619
779,0.837,1620
435,0.000,1763
410,0.049,1815
2292,0.917,1829
917,0.001,1875
1413,0.106,1876
1005,0.020,1933
641,0.011,1937
317,0.000,1978
430,0.009,2020
371,0.003,2025
598,0.614,2061
2654,0.538,2073
362,0.276,2133
403,0.007,2157
764,0.175,2179
318,0.119,2263
582,0.098,2281
527,0.634,2319
522,0.891,2476
457,0.007,2545
456,0.081,2635
399,0.604,2645
19627,0.955,2657
788,0.009,2677
3723,0.665,2786
1203,0.027,2932
328,0.979,2974
2669,0.752,2997
364,0.011,3022
3947,0.713,3127
418,0.132,3188
311,0.904,3342
2137,0.950,3451
321,0.003,3476
354,0.006,3481
304,0.056,3487
535,0.564,3517
355,0.000,3594
309,0.010,3626
968,0.221,3648
904,0.300,3668
586,0.399,3702
3202,0.840,3732
356,0.003,3771
439,0.023,3825
485,0.072,3947
2095,0.747,4005
3726,0.012,4021
311,0.952,4024
1947,0.004,4214
868,0.705,4247
321,0.240,4355
493,0.004,4374
455,0.000,4377
2186,0.081,4423
3062,0.875,4430
548,0.071,4479
308,0.010,4566
797,0.797,4728
5928,0.741,4755
1098,0.010,4759
853,0.002,4867
2744,0.004,4918
592,0.003,5043
384,0.708,5063
426,0.005,5071
5704,0.002,5082
454,0.004,5195
467,0.069,5221
324,0.883,5362
1022,0.007,5872
924,0.313,6061
3805,0.276,6288
2760,0.781,6429
473,0.002,6465
1560,0.326,6477
374,0.575,6652
410,0.000,6718
1961,0.921,6763
375,0.299,6769
11363,0.911,6803
1184,0.001,6948
889,0.213,6971
7039,0.370,7072
3713,0.318,7075
